Week Ending,County,UI Claims,PUA Claims
01/11/2020,Alameda,1487,0
01/11/2020,Contra Costa,1073,0
01/11/2020,Marin,144,0
01/11/2020,Napa,162,0
01/11/2020,San Francisco,945,0
01/11/2020,San Mateo,467,0
01/11/2020,Santa Clara,1443,0
01/11/2020,Solano,678,0
01/11/2020,Sonoma,558,0
01/18/2020,Alameda,1817,0
01/18/2020,Contra Costa,1383,0
01/18/2020,Marin,202,0
01/18/2020,Napa,185,0
01/18/2020,San Francisco,965,0
01/18/2020,San Mateo,597,0
01/18/2020,Santa Clara,1794,0
01/18/2020,Solano,825,0
01/18/2020,Sonoma,640,0
01/25/2020,Alameda,1350,0
01/25/2020,Contra Costa,940,0
01/25/2020,Marin,146,0
01/25/2020,Napa,157,0
01/25/2020,San Francisco,739,0
01/25/2020,San Mateo,438,0
01/25/2020,Santa Clara,1330,0
01/25/2020,Solano,574,0
01/25/2020,Sonoma,503,0
02/01/2020,Alameda,1265,0
02/01/2020,Contra Costa,949,0
02/01/2020,Marin,154,0
02/01/2020,Napa,140,0
02/01/2020,San Francisco,801,0
02/01/2020,San Mateo,384,0
02/01/2020,Santa Clara,1133,0
02/01/2020,Solano,567,0
02/01/2020,Sonoma,453,0
02/08/2020,Alameda,1328,0
02/08/2020,Contra Costa,867,0
02/08/2020,Marin,138,0
02/08/2020,Napa,130,0
02/08/2020,San Francisco,824,0
02/08/2020,San Mateo,444,0
02/08/2020,Santa Clara,1369,0
02/08/2020,Solano,516,0
02/08/2020,Sonoma,414,0
02/15/2020,Alameda,1371,0
02/15/2020,Contra Costa,936,0
02/15/2020,Marin,182,0
02/15/2020,Napa,115,0
02/15/2020,San Francisco,917,0
02/15/2020,San Mateo,509,0
02/15/2020,Santa Clara,1395,0
02/15/2020,Solano,535,0
02/15/2020,Sonoma,411,0
02/22/2020,Alameda,1046,0
02/22/2020,Contra Costa,836,0
02/22/2020,Marin,134,0
02/22/2020,Napa,100,0
02/22/2020,San Francisco,703,0
02/22/2020,San Mateo,375,0
02/22/2020,Santa Clara,1094,0
02/22/2020,Solano,428,0
02/22/2020,Sonoma,370,0
02/29/2020,Alameda,1330,0
02/29/2020,Contra Costa,925,0
02/29/2020,Marin,159,0
02/29/2020,Napa,130,0
02/29/2020,San Francisco,802,0
02/29/2020,San Mateo,462,0
02/29/2020,Santa Clara,1186,0
02/29/2020,Solano,527,0
02/29/2020,Sonoma,396,0
03/07/2020,Alameda,1434,0
03/07/2020,Contra Costa,1039,0
03/07/2020,Marin,187,0
03/07/2020,Napa,115,0
03/07/2020,San Francisco,1115,0
03/07/2020,San Mateo,523,0
03/07/2020,Santa Clara,1359,0
03/07/2020,Solano,527,0
03/07/2020,Sonoma,427,0
03/14/2020,Alameda,2171,0
03/14/2020,Contra Costa,1483,0
03/14/2020,Marin,260,0
03/14/2020,Napa,159,0
03/14/2020,San Francisco,2491,0
03/14/2020,San Mateo,975,0
03/14/2020,Santa Clara,1840,0
03/14/2020,Solano,645,0
03/14/2020,Sonoma,536,0
03/21/2020,Alameda,8664,0
03/21/2020,Contra Costa,6000,0
03/21/2020,Marin,870,0
03/21/2020,Napa,852,0
03/21/2020,San Francisco,6039,0
03/21/2020,San Mateo,3617,0
03/21/2020,Santa Clara,9478,0
03/21/2020,Solano,2240,0
03/21/2020,Sonoma,2337,0
03/28/2020,Alameda,46056,0
03/28/2020,Contra Costa,32426,0
03/28/2020,Marin,5826,0
03/28/2020,Napa,5525,0
03/28/2020,San Francisco,26889,0
03/28/2020,San Mateo,19466,0
03/28/2020,Santa Clara,49472,0
03/28/2020,Solano,12702,0
03/28/2020,Sonoma,17040,0
04/04/2020,Alameda,38645,0
04/04/2020,Contra Costa,26648,0
04/04/2020,Marin,5782,0
04/04/2020,Napa,3462,0
04/04/2020,San Francisco,24040,0
04/04/2020,San Mateo,17746,0
04/04/2020,Santa Clara,38511,0
04/04/2020,Solano,9191,0
