service_id,date,exception_type
32,20220116,1
32,20220117,1
28,20220118,1
31,20220119,1
28,20220120,1
29,20220121,1
30,20220122,1
32,20220123,1
28,20220124,1
28,20220125,1
31,20220126,1
28,20220127,1
29,20220128,1
30,20220129,1
32,20220130,1
28,20220131,1
28,20220201,1
31,20220202,1
28,20220203,1
29,20220204,1
30,20220205,1
32,20220206,1
28,20220207,1
28,20220208,1
31,20220209,1
28,20220210,1
29,20220211,1
30,20220212,1
32,20220213,1
28,20220214,1
28,20220215,1
31,20220216,1
28,20220217,1
29,20220218,1
30,20220219,1
32,20220220,1
32,20220221,1
28,20220222,1
31,20220223,1
28,20220224,1
29,20220225,1
30,20220226,1
32,20220227,1
28,20220228,1
28,20220301,1
31,20220302,1
28,20220303,1
29,20220304,1
30,20220305,1
32,20220306,1
28,20220307,1
28,20220308,1
31,20220309,1
28,20220310,1
29,20220311,1
30,20220312,1
32,20220313,1
28,20220314,1
28,20220315,1
31,20220316,1
28,20220317,1
29,20220318,1
30,20220319,1
32,20220320,1
28,20220321,1
28,20220322,1
31,20220323,1
28,20220324,1
29,20220325,1
30,20220326,1
32,20220327,1
28,20220328,1
28,20220329,1
31,20220330,1
28,20220331,1
29,20220401,1
30,20220402,1
32,20220403,1
28,20220404,1
28,20220405,1
31,20220406,1
28,20220407,1
29,20220408,1
30,20220409,1
32,20220410,1
28,20220411,1
28,20220412,1
31,20220413,1
28,20220414,1
29,20220415,1
30,20220416,1
32,20220417,1
28,20220418,1
28,20220419,1
31,20220420,1
28,20220421,1
29,20220422,1
30,20220423,1
32,20220424,1
28,20220425,1
28,20220426,1
31,20220427,1
28,20220428,1
29,20220429,1
30,20220430,1
32,20220501,1
28,20220502,1
28,20220503,1
31,20220504,1
28,20220505,1
29,20220506,1
30,20220507,1
32,20220508,1
28,20220509,1
28,20220510,1
31,20220511,1
28,20220512,1
29,20220513,1
30,20220514,1
32,20220515,1
28,20220516,1
28,20220517,1
31,20220518,1
28,20220519,1
29,20220520,1
30,20220521,1
32,20220522,1
28,20220523,1
28,20220524,1
31,20220525,1
28,20220526,1
29,20220527,1
30,20220528,1
32,20220529,1
32,20220530,1
28,20220531,1
31,20220601,1
28,20220602,1
29,20220603,1
30,20220604,1
32,20220605,1
28,20220606,1
28,20220607,1
31,20220608,1
28,20220609,1
29,20220610,1
30,20220611,1
32,20220612,1
28,20220613,1
28,20220614,1
31,20220615,1
28,20220616,1
29,20220617,1
30,20220618,1
32,20220619,1
28,20220620,1
28,20220621,1
31,20220622,1
28,20220623,1
29,20220624,1
30,20220625,1
32,20220626,1
28,20220627,1
28,20220628,1
31,20220629,1
28,20220630,1
29,20220701,1
30,20220702,1
32,20220703,1
28,20220704,1
28,20220705,1
31,20220706,1
28,20220707,1
29,20220708,1
30,20220709,1
32,20220710,1
28,20220711,1
28,20220712,1
31,20220713,1
28,20220714,1
29,20220715,1
30,20220716,1
