stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
1041,1041,"Price Chopper / US 209 W",,41.0504798889,-75.108368,,,0,,1
1201,1201,"MCTA / PA 611 W",,41.0765647888,-75.326881,,,0,,1
1204,1204,"Woodland S / PA 611",,41.1024932861,-75.334297,,,0,,1
1205,1205,"PA 611 / Knob Rd E",,41.11921,-75.35497,,,0,,1
1206,1206,"Fairview Ave / PA 611",,41.1210289001,-75.356194,,,0,,1
1209,1209,"Belmont Knoll / PA 611 SW",,41.1228599548,-75.357597,,,0,,1
1211,1211,"Limeklin / East Kinney",,41.1229629517,-75.355057,,,0,,1
1214,1214,"NCC Annex W",,41.1461296082,-75.365211,,,0,,1
1218,1218,"Kings Way / Rte 196",,41.1629295349,-75.357582,,,0,,1
1220,1220,"Carriage Square / Rte 196",,41.1710128784,-75.359161,,,0,,1
1222,1222,"PCP Main Gate / Rte 196",,41.1858444214,-75.356659,,,0,,1
1224,1224,"PCP JKL Gate / Rte 196",,41.2121315002,-75.363037,,,0,,1
1225,1225,"Brentwood Rd",,41.1922531128,-75.356613,,,0,,1
1226,1226,"PCP Rear Gate / Rte 196",,41.2190895081,-75.365158,,,0,,1
1228,1228,"NHS Mt Pocono",,41.1357002258,-75.365067,,,0,,1
1230,1230,"Sanofi / PA 611 W",,41.094745636,-75.328018,,,0,,1
1233,1233,"Crossings Premium Outlets S",,41.0480804443,-75.312515,,,0,,1
1236,1236,"Warner Rd / PA 611 W",,41.0313987732,-75.301445,,,0,,1
1238,1238,"Bartonsville Ave / PA 611 W",,41.01304245,-75.29303,,,0,,1
1240,1240,"American Candle / PA 611 W",,41.0066108704,-75.283569,,,0,,1
1241,1241,"Rimrock Dr / PA 611 W",,41.0050010681,-75.280075,,,0,,1
1247,1247,"Stroud Commons / Rte 611 W",,40.9962158203,-75.253387,,,0,,1
1249,1249,"Fountain Court / PA 611 W",,41.0186042786,-75.296227,,,0,,1
1250,1250,"Careerlink / Rte 611 W",,41.0347099304,-75.302803,,,0,,1
1263,1263,"Target / PA 611 N",,40.9935913086,-75.246521,,,0,,1
1265,1265,"Radio Rd Best Buy / PA 611 W",,40.9885673523,-75.235603,,,0,,1
1271,1271,"Bills ShopRite Knox St W",,41.1244430542,-75.355392,,,0,,1
1401,1401,"N 9th St / Chipperfield St SW",,40.9895591736,-75.216652,,,0,,1
