route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
101,28,t267-b3F4-sl1C,"Eagle Valley",0,1012,3311_shp,1,0
101,28,t2CB-b3F4-sl1C,"Giant",1,1012,3320_shp,1,0
101,28,t2DA-b3F3-sl1C,"Eagle Valley",0,1011,3312_shp,1,0
101,28,t32F-b3F3-sl1C,"Giant",1,1011,3320_shp,1,0
101,28,t32F-b3F4-sl1C,"Eagle Valley",0,1012,3314_shp,1,0
101,28,t3A2-b3F3-sl1C,"Eagle Valley",0,1011,3314_shp,1,0
101,28,t3A2-b3F4-sl1C,"Giant",1,1012,3320_shp,1,0
101,28,t415-b3F3-sl1C,"Giant",1,1011,3320_shp,1,0
101,28,t415-b3F4-sl1C,"Eagle Valley",0,1012,3314_shp,1,0
101,28,t4B0-b3F3-sl1C,"Eagle Valley",0,1011,3314_shp,1,0
101,28,t4B0-b3F4-sl1C,"Giant",1,1012,3320_shp,1,0
101,28,t523-b3F3-sl1C,"Giant",1,1011,3320_shp,1,0
101,28,t523-b3F4-sl1C,"Eagle Valley",0,1012,3314_shp,1,0
101,28,t596-b3F3-sl1C,"Eagle Valley",0,1011,3314_shp,1,0
101,28,t596-b3F4-sl1C,"Giant",1,1012,3320_shp,1,0
101,28,t609-b3F3-sl1C,"Giant",1,1011,3320_shp,1,0
101,28,t609-b3F4-sl1C,"Eagle Valley",0,1012,3314_shp,1,0
101,28,t6A4-b3F3-sl1C,"Eagle Valley",0,1011,3314_shp,1,0
101,28,t6A4-b3F4-sl1C,"Giant",1,1012,3320_shp,1,0
101,28,t717-b3F3-sl1C,"Giant",1,1011,3320_shp,1,0
101,28,t717-b3F4-sl1C,"Eagle Valley",0,1012,3314_shp,1,0
101,28,t78A-b3F4-sl1C,"Giant",1,1012,3318_shp,1,0
101,29,t267-b3F4-sl1D,"Eagle Valley",0,1012,3313_shp,1,0
101,29,t2CB-b3F4-sl1D,"Giant",1,1012,3316_shp,1,0
101,29,t2DA-b3F3-sl1D,"Eagle Valley",0,1011,3309_shp,1,0
